2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:33,110 INFO osmnx Found nearest node (25473293) to point (51.513341, -0.136668) in 0.01 seconds
2019-06-27 11:20:33,121 INFO osmnx Found nearest node (21665926) to point (51.513876, -0.139586) in 0.01 seconds
2019-06-27 11:20:33,130 INFO osmnx Found nearest node (4684520654) to point (51.514905999999996, -0.13967100000000002) in 0.01 seconds
2019-06-27 11:20:33,138 INFO osmnx Found nearest node (107807) to point (51.512353999999995, -0.13163) in 0.01 seconds
2019-06-27 11:20:33,145 INFO osmnx Found nearest node (348875443) to point (51.512139000000005, -0.13359400000000002) in 0.01 seconds
2019-06-27 11:20:33,151 INFO osmnx Found nearest node (25473300) to point (51.511542, -0.135919) in 0.01 seconds
2019-06-27 11:20:33,158 INFO osmnx Found nearest node (1663004187) to point (51.510019, -0.133962) in 0.01 seconds
2019-06-27 11:20:33,164 INFO osmnx Found nearest node (25257692) to point (51.511295000000004, -0.138199) in 0.01 seconds
2019-06-27 11:20:42,452 INFO osmnx Found nearest node (25501340) to point (51.513418, -0.13793) in 0.02 seconds
2019-06-27 11:20:42,459 INFO osmnx Found nearest node (25501340) to point (51.513360999999996, -0.137883) in 0.01 seconds
2019-06-27 11:20:42,466 INFO osmnx Found nearest node (701600719) to point (51.513317, -0.137853) in 0.01 seconds
2019-06-27 11:20:42,472 INFO osmnx Found nearest node (701600719) to point (51.513262, -0.137812) in 0.01 seconds
2019-06-27 11:20:42,479 INFO osmnx Found nearest node (701600719) to point (51.513203999999995, -0.137767) in 0.01 seconds
2019-06-27 11:20:42,485 INFO osmnx Found nearest node (701600731) to point (51.513184, -0.137537) in 0.01 seconds
